t,F_0=0.015 C_vv(t),F_0=0.015 stdv C_vv(t),F_0=0.03 C_vv(t),F_0=0.03 stdv C_vv(t),F_0=0.045 C_vv(t),F_0=0.045 stdv C_vv(t),F_0=0.06 C_vv(t),F_0=0.06 stdv C_vv(t),F_0=0.075 C_vv(t),F_0=0.075 stdv C_vv(t),F_0=0.105 C_vv(t),F_0=0.105 stdv C_vv(t),F_0=0.135 C_vv(t),F_0=0.135 stdv C_vv(t)
95.0,0.26851393909537996,0.025035649523798432,0.339282655634506,0.03823036569973779,0.4363532468949768,0.02236403118910034,0.3508550208006964,0.010328123484852668,0.2738572704669542,0.012170887976023198,NaN,NaN,NaN,NaN
96.0,0.26848746710670307,0.0269203310420026,0.3376087860055537,0.037545313683821205,0.4349957829045358,0.02232670692703354,0.3488581440464885,0.010512728053149612,0.2718834248954223,0.01205248012859975,NaN,NaN,NaN,NaN
97.0,0.26598971971858265,0.026666975536760604,0.33716804941929224,0.039082757154895814,0.4335928736222618,0.02195581689260188,0.34682658699274027,0.010828370270370459,0.2701514983664805,0.012821260852034977,NaN,NaN,NaN,NaN
98.0,0.264978610815238,0.026730366532939937,0.3351194638244819,0.038945747192473255,0.43159014533340045,0.022283407134221535,0.34538307519522504,0.010298740305645643,0.2685076859320229,0.01236654138167179,NaN,NaN,NaN,NaN
99.0,0.26357279840600867,0.026577263975247425,0.33443810398389306,0.03958985792179726,0.4307743736240116,0.02260787264549011,0.3427696661927661,0.010340681406632331,0.2668393904750889,0.013113203806700613,NaN,NaN,NaN,NaN
100.0,0.2625356097427043,0.02754747892646156,0.33338695609077645,0.03889405124174772,0.42953411622643634,0.022885194662037523,0.3412546397019339,0.009890500655459513,0.2659813495222574,0.01272011961936751,NaN,NaN,NaN,NaN
102.5,0.2587681761834485,0.0267284986439748,0.3297364153061858,0.03978368009255495,0.4256466097904366,0.023156621100616896,0.33562110121790023,0.010153655248939662,0.26176297450302705,0.012059094767974248,NaN,NaN,NaN,NaN
105.0,0.25501477883281487,0.02599030888057213,0.3281171147853373,0.04127036096162304,0.42304252458051056,0.0237787134019837,0.3306774235613078,0.00964702353759788,0.25832563855908164,0.011965365130242343,NaN,NaN,NaN,NaN
107.5,0.25344917057806715,0.025787646771315113,0.32691815891428816,0.03975303381820438,0.4194717515795346,0.023264044162468075,0.32686593825508076,0.009167355345831253,0.25501232394455525,0.011734927685207487,NaN,NaN,NaN,NaN
110.0,0.2496627241747595,0.026251210317397303,0.3248064567362952,0.03991374378656764,0.4171010384151315,0.023242534419558113,0.322701138087487,0.009616240861458033,0.25091773996315886,0.012137050680983169,NaN,NaN,NaN,NaN
112.5,0.2463922442167398,0.02617103900417181,0.321210915934703,0.04027842632975888,0.41260763210254153,0.02320871400226971,0.31837180489100436,0.009048198495066235,0.24705102323827915,0.012500179898676857,NaN,NaN,NaN,NaN
115.0,0.24330093298701166,0.027106458677818576,0.3201331170829766,0.04025520439219401,0.409690128879067,0.02260911586037399,0.3145214796432242,0.009397208179112096,0.2436117047849652,0.012482491129220877,NaN,NaN,NaN,NaN
117.5,0.2417563920560221,0.02620000453079796,0.3182493940624721,0.04026481256372021,0.40537003139782,0.023516687599896436,0.31030268926960736,0.010803893188736586,0.23942871203145347,0.011671786443387115,NaN,NaN,NaN,NaN
120.0,0.2393094969810512,0.026987568077637813,0.31511098853224706,0.04015358543922945,0.403467316367077,0.02468430843099689,0.3051130864878576,0.010564951216226892,0.23635906414956137,0.011662340311814423,NaN,NaN,NaN,NaN
122.5,0.2363478579632842,0.028638508445497042,0.313955512082949,0.0405129650079844,0.3997044468444486,0.024728379158143646,0.3007743131980826,0.010587587889667753,0.23244399270259883,0.011473756294802339,NaN,NaN,NaN,NaN
125.0,0.2351320890151431,0.028648802072675773,0.3112964253087095,0.03939427087891078,0.3961040221689549,0.02305139280156002,0.29626610261181757,0.009921576934845482,0.22964283560482718,0.011537340485946158,NaN,NaN,NaN,NaN
127.5,0.23380144264400177,0.028142522412734582,0.3092657355064048,0.03809293166073644,0.3926979014634332,0.022352128215271598,0.2926725388585568,0.010011447454519446,0.22691032481897747,0.011452653054550078,NaN,NaN,NaN,NaN
130.0,0.22939169523729558,0.028022294791574077,0.3081563986273613,0.03958657737738586,0.38983415148580197,0.021805573193553005,0.2896559484738141,0.00936159948170487,0.22489194876678115,0.010643818450841436,NaN,NaN,NaN,NaN
132.5,0.22951983501616763,0.028063621282752544,0.30536904962040035,0.04005859071571339,0.38673650309674723,0.022184533162219855,0.2857259983897796,0.009941953653383715,0.2210854232220395,0.010454903041370549,NaN,NaN,NaN,NaN
135.0,0.22692562963511925,0.028370422057096265,0.3032736690043949,0.04054227666254928,0.3835092229609397,0.022116517418933966,0.28261922270725026,0.009779923129946327,0.21870782369578057,0.010648295305371433,NaN,NaN,NaN,NaN
137.5,0.2244230602837923,0.02796358140292315,0.30160234412075204,0.04062150318936477,0.3809508554476275,0.022968152382990853,0.27942355622101045,0.009641928248963467,0.21687494684134373,0.010075007360283952,NaN,NaN,NaN,NaN
140.0,0.22286125645718954,0.02893010000036016,0.300081079072343,0.040898538484028184,0.3778370289327714,0.023841994480028612,0.2765699142250431,0.010164106400860665,0.21405294975993772,0.010746780299616666,NaN,NaN,NaN,NaN
