t,tau_T=0.1 C_vv(t),tau_T=0.1 stdv C_vv(t),tau_T=1.0 C_vv(t),tau_T=1.0 stdv C_vv(t),tau_T=2.0 C_vv(t),tau_T=2.0 stdv C_vv(t),tau_T=5.0 C_vv(t),tau_T=5.0 stdv C_vv(t),tau_T=10.0 C_vv(t),tau_T=10.0 stdv C_vv(t),tau_T=20.0 C_vv(t),tau_T=20.0 stdv C_vv(t),tau_T=50.0 C_vv(t),tau_T=50.0 stdv C_vv(t),tau_T=100.0 C_vv(t),tau_T=100.0 stdv C_vv(t),tau_T=500.0 C_vv(t),tau_T=500.0 stdv C_vv(t),tau_T=1000.0 C_vv(t),tau_T=1000.0 stdv C_vv(t)
130.0,0.0001475373717656056,0.0024770356748614777,0.0010216427273450172,0.0018668443324123293,0.0007935884532619542,0.002285432798094746,-0.001698078299387392,0.002293687111359204,-0.0010572651041798292,0.003017007394209943,0.00021000314041891635,0.0025559750712002105,-6.199018278109998e-5,0.0021619299287830946,-0.0004430103071674989,0.0022090960967820336,-0.0017661285104875184,0.0036325440314770737,0.0035392240683662403,0.002623146533636523
132.5,-0.0009171324520975173,0.003140174769009241,0.0014480702419694463,0.0027433461948105733,-0.0008391882265994116,0.002325957384798564,-0.0009216922092593512,0.0018499057491333265,-0.0004311253348286854,0.00298333581804632,-0.0005337985353596827,0.0024214039000058332,-0.00012028577464084927,0.0034599290591050195,0.00022380661720170587,0.003063784984219399,-0.0021550377696681793,0.002918278532726583,0.0045574430608335366,0.002251734357223048
135.0,-0.00033757907002552934,0.002907096777018157,-0.0003187392624934524,0.0026201137327441894,0.000274780596631026,0.0025860183578496013,0.0004206849450284402,0.002021508301060004,-0.0002453804538254946,0.002204000111408858,9.133123818787881e-5,0.0033215565301826728,-0.0015838821855588357,0.003027906379273361,0.0005866834696765346,0.0022596834101593377,-0.0017412126003848714,0.0025387759790783298,0.002578992431533327,0.0018482268025377603
137.5,0.0003259080111686734,0.0019165283108348585,-0.0007073052766208762,0.0030415444634673853,0.0010990791810636313,0.002312469310429982,0.0009577575535579142,0.0018169094524842324,0.0007151684636750031,0.002247851691878372,3.104971033576577e-5,0.0021458801144063036,-5.113818596285996e-5,0.0032049165819355713,-0.000861161402870757,0.0021595296370052787,-0.0003836540042169133,0.002327716788516552,0.002547497088706715,0.0014639978294390527
140.0,-0.0003498504637140342,0.0029868517036001907,-0.001731169323003122,0.002538516418057389,-0.0011001017115585625,0.0020100773778813957,0.0005515522241507337,0.0017683082943535484,0.0002654175967288662,0.0026696119147308034,0.0011849332094908637,0.0029299435587169104,0.0006116648803376613,0.0028617184696125182,-0.0015100437622774525,0.0021118611535496674,-0.0004305637694656985,0.002775029247377644,0.0012778645465703316,0.0018375069450962751
142.5,-0.00024833650875494186,0.002714790556605998,0.0016934570831380672,0.0018630904709687605,-0.00040761119737025745,0.0019121609447257594,-0.0006153953178483151,0.002576921681520551,0.000690774822383235,0.0035296488598297437,-0.00017415915141450928,0.0020964203094721193,0.0002619166597399704,0.0020598164165405233,-0.0016846341152470501,0.003318576451913611,0.0006313591991876915,0.002231985756632687,0.0014589636890977782,0.001760121255655571
145.0,-0.0010971964361607158,0.0010834458270869707,-0.0017036184713925344,0.0035622904323969595,0.0009810611645578308,0.0017321783298140212,7.008684290349543e-5,0.002420365027147287,0.0009497749569429857,0.0027340733145579756,-4.947007494444136e-5,0.002580471681389876,0.00019020158242035384,0.0021540027497426962,-0.00026022099422292727,0.0020980499991862423,-0.00034678568288989264,0.002370298046825459,0.0004835756617632933,0.0021960782622787735
147.5,0.00013000447669939247,0.002699108721109931,0.000800036282244317,0.0027034188676881453,-0.0002862041929194084,0.00341302638044713,0.001283454729229455,0.002101356549354151,-0.0004404162933412589,0.0024927861829651516,0.00019678292527146245,0.0019663165519128623,0.00013349834772009996,0.0019418774356362598,-0.0013744618089742134,0.0029630504694098995,-0.0010050039431735087,0.0025131067320113363,0.0004461122984994754,0.0019534668141873196
150.0,-0.0006752394464324873,0.0024035937905911614,-0.0006440639702403027,0.002525931785743521,-0.0002021493250331646,0.0024212998079106342,0.002024896001957371,0.0032272434009150315,-0.0006177719383393961,0.0032113998146447225,-0.0009980839835919937,0.002938413672868661,0.0003872313656317526,0.002496254611478977,-0.0009937858050581623,0.0026453817589852414,-0.0013070569687173494,0.002393362634946226,0.0008306797344733916,0.001953009502719982
152.5,0.0003332870336684731,0.0017673286110417691,0.0007012276981539755,0.003321111039030113,-0.0005740122926369988,0.0030675076783552844,-0.0002084762040318813,0.0019692950676592023,1.0162955649456223e-5,0.00243945913102879,-0.0007585448954986541,0.0023349747178540996,-0.00016259345595800358,0.0017862693246658199,-0.0011572063724646833,0.00254160192221842,-0.001060587402459642,0.002109785852192564,-0.0006586062422213639,0.0020749921564944492
155.0,0.00020067185696236498,0.002026615406735993,-0.0004230056522602879,0.0028581780372613492,-2.6628577210362335e-5,0.0026490669734477905,0.0005383603062690436,0.0027269243572542105,-0.00046353374500809127,0.002151742557548731,0.00020244853647364563,0.0018711058806697037,-0.0009042516111306961,0.0019067394672707173,-0.0008601857250464872,0.0023213382912331436,-8.322383437628909e-6,0.0013179774138317752,0.0003461293050052379,0.0018163916115286026
157.5,-0.001023320314393695,0.0025563754555206746,0.0011426687374953618,0.002578801453888508,0.001336688778537813,0.002788589193136214,-0.0001614516730565351,0.0015498401214562854,-1.8276692456743684e-5,0.0021826247120652234,0.0005606998499308286,0.0019116764844333157,-0.0001807460125055993,0.0020634124837713456,-0.00045451498633131886,0.003419128448816012,-0.0007876897893154879,0.0016492708430992256,-4.131886927992194e-5,0.0018513235185924869
160.0,-0.00021754288510272742,0.0018923512706372565,0.0007683798486070393,0.0026231130337020653,-0.0005157666647710459,0.0016822884064285049,-0.0006449771025415407,0.002610084133287231,-9.699156755396134e-5,0.0011962565794138723,0.0004621399300643588,0.00253737556485218,0.0003645438690651677,0.002007527107228612,-0.0008516462040747922,0.0021508485517322483,-0.0011150154703124624,0.002452368204261886,-0.0005884890515171924,0.0020297319311602256
162.5,-0.0010002730126980684,0.0022203528593167424,-0.00014945423845498214,0.002953187985656162,7.413228981641791e-5,0.0028390357173118446,-0.0004447515695620966,0.0027558897895183787,1.6991705290651413e-5,0.0016617711017877159,0.0003537488529213249,0.0023705312110212655,0.000353792895896907,0.003283970005973886,0.0008083496263557289,0.002841821203197768,-0.0011338011432447223,0.0026116618855728632,-0.0006255560041000843,0.0015395974384492042
165.0,0.0004179536616812591,0.002625282136656294,-0.0008578862144876344,0.002332085334679703,-0.0005880346132561574,0.00225084166045072,1.2299778792473534e-5,0.0022879152977538474,0.0017889469079256225,0.002243733691680241,0.0014530395366411152,0.002469191047690298,-0.0007122991290036283,0.002788073838667272,-0.0006110201714535949,0.002455911182212741,-0.0014891739886559795,0.0022187432618352254,0.0007407149432448268,0.0024904259239719624
167.5,-0.0010307846266873863,0.0025940413308515402,-0.00032874393903238456,0.0032356253825209496,0.00035024216690860316,0.00328414627197842,0.0005804049269240404,0.0029473857061138907,0.0011240226729810796,0.002237649986390108,-0.00016640060601587125,0.0019520376171554528,-0.0009373279811837029,0.002600678124610787,0.000764357044446797,0.0017354693287344016,-0.001737218888477584,0.0019763956337314585,-0.00044543687610470035,0.0021273954390617043
170.0,-0.0005268288104285929,0.0017544606742569504,0.0011711266958581497,0.0020022390030968256,-0.0003931282603192012,0.0018631087854586357,0.001097542247215894,0.003184527671012147,-0.0007158207506609116,0.002025876271058649,-0.0002680256103640923,0.0016795878966423374,5.220000215701875e-5,0.0021736313775655184,0.00033941661697570863,0.003796075126988766,-0.0011165301292007028,0.001710883477769402,0.0009418614325701246,0.0022004468289069093
