Delta T,tau_T,MSD(2500),stdv MSD(2500),MSRD(500),stdv MSRD(500),MSRD(1000),stdv MSRD(1000),MSRD(2500),stdv MSRD(2500),MSRD diffusivity exponent,shape factor, stdv shape factor,aspect ratio,stdv aspect ratio,T1 rate,stdv T1 rate,P(l<l_c),stdv P(l<l_c),trapped edge lifetime,stdv trapped edge lifetime,T1 success rate,stdv T1 success rate,Δstdv ^2_n,stdv Δstdv ^2_n,v^2,stdv v^2,correlation length,stdv correlation length,tau_eff,stdv tau_eff
0.15,5.0,0.15052335943702402,0.01938640883144829,0.06293994954182638,0.004714781221106507,0.09397818626763396,0.008348410599826986,0.16597260725553445,0.017924547241417618,0.5890255938522109,3.7770916440901514,0.0012717629644264329,1.161058142302156,0.0035801527685754213,0.00032416,3.075578355727947e-5,2.6666666666666674e-8,1.405456737852613e-8,0.0,0.0,0.3823509750849602,0.025784086418081702,2.384093130288174,0.1562770933735218,0.00034690025972396925,1.2647565600056486e-6,-0.08066379725157692,0.0009173943466156498,0.16848944053963502,0.011005899579169939
0.15,10.0,0.2917395050824598,0.02186632018097132,0.1047943803548599,0.006336205592803994,0.16563762017186076,0.010115554141175208,0.32129394985361875,0.019206814423264582,0.7253967370659614,3.7860357222035774,0.0008407415936229367,1.1788026242226148,0.002367419482829904,0.0005694999999999999,2.1888657641192484e-5,2.3333333333333337e-8,1.6101529717988265e-8,0.0,0.0,0.4718432195354193,0.026210733672673337,2.6874656885850983,0.0952561810465878,0.0002287386390315276,6.743661582633477e-7,-0.06696610851103454,0.0013749844256695516,0.3402621695251531,0.013850189485766226
0.15,20.0,0.5697708565225663,0.054716886793258486,0.1725401658943649,0.01263502719724726,0.304942063401644,0.029528498376659287,0.7098149881719984,0.06289837865379028,0.9442874734013019,3.7991271714681267,0.0011229892167533043,1.2085847828664364,0.002920685737985014,0.0008655599999999999,4.29276186672921e-5,1.6666666666666667e-8,2.8327886186626588e-8,5.3361792956241325e-5,0.00016874480577205235,0.5666796534167995,0.022879450967618824,2.572524666718997,0.12712612862226585,0.00014594324207242376,9.081476121245097e-7,-0.04920918594492479,0.0007785202647737005,0.677912983699144,0.024806816451093193
0.15,50.0,0.7282385484009635,0.07071418656520392,0.20010807825184335,0.012302130758132912,0.37063196621459893,0.0245266509370337,0.8918808269027797,0.07475135845321094,1.0072785398304291,3.8082890269825462,0.001236862023470358,1.2284851726787194,0.002816538798557617,0.0008362199999999998,4.490300163191271e-5,1.0000000000000002e-8,2.2498285257018435e-8,6.009615384615641e-5,0.00019004072476974242,0.632958479613937,0.020185652487331392,2.6309269487878386,0.16152312337491065,7.412006418553022e-5,7.075589284958306e-7,-0.02390683747776027,0.001914407225908496,1.4775271585077037,0.037559272181322656
0.15,100.0,0.6462207370317875,0.06256717339097569,0.1675289477903865,0.008590294799256003,0.31131793257170887,0.01863340809829996,0.7623820150787773,0.06113997130751662,1.036663728388599,3.811554667249665,0.0009116881189183983,1.236107377799208,0.002163229515838489,0.00063696,2.256423916042569e-5,0.0,0.0,0.00040816326530612734,0.0012907255755789458,0.6720160133148078,0.04231085146123255,2.7325318212367122,0.22434727601017462,4.23224624534301e-5,2.7307307885444696e-7,-0.005708338466035108,0.0014882670275067214,2.2541908404886906,0.046812527543928395
0.15,500.0,0.28284089295176595,0.03091125852342504,0.06795018669097054,0.0033951646459877815,0.1263907887216373,0.00823814881763518,0.2949570153024048,0.02640897140512052,0.9647389763849797,3.8127033046853356,0.0011757276645729705,1.2399851862040554,0.0025142405555325896,0.00021506000000000004,1.2926132015761285e-5,0.0,0.0,0.0,0.0,0.7284244541415792,0.0711298834688828,2.7037535337535337,0.20588733178725058,1.0184396617402569e-5,1.678081680557401e-7,0.02853722909284917,0.00422839297077523,5.292450112018533,0.05108565120367864
0.15,1000.0,0.16719372008881506,0.018165519459964103,0.035982942849860027,0.0023172538029285284,0.06929531216972692,0.005224213863281011,0.16358115821490812,0.012286972883882617,0.9671694250091002,3.80967921515352,0.0012500074907752991,1.2356829711653816,0.004006185962130282,0.00011261999999999999,7.2861817465970755e-6,0.0,0.0,0.0,0.0,0.756079336847564,0.03648482615388765,2.679264069264069,0.4689359712526981,5.1915888042512656e-6,1.0121120816472526e-7,0.03587066938992632,0.0036064840328018035,6.206632304251674,0.05717420454709249
0.2,0.1,0.0029593735643749976,0.0009403218779220324,0.0024033439644900044,0.00014910199339413337,0.0028049567195086674,0.0003238259493911927,0.003580810605369004,0.0007521589047174077,0.27725825099700063,3.7708555477484125,0.0012824542156707713,1.1845583303167837,0.004095894529385983,1.76e-6,4.880801391392833e-7,0.0,0.0,0.0,0.0,0.225,0.22239576556942328,-0.8933333333333332,0.9109484949731391,0.002308034714841683,4.92321359246037e-6,-0.0898124080191022,0.0008626132795161584,0.013180744101279805,0.003136982857916552
0.2,1.0,0.09032577255657792,0.012623440759002427,0.03666055382837496,0.0018515975421315388,0.052596961021530046,0.003612641314351032,0.08773154074802465,0.007870406136582159,0.518041052867927,3.783578183881614,0.0008911838289547803,1.1553474766517386,0.0030345296259636596,0.0002238,1.4491070047139766e-5,2.4900000000000003e-6,3.715333592519479e-7,0.0006404693225974367,0.0003744989368656378,0.11429468438870212,0.010052545075797196,1.9990273084064352,0.09783021961121766,0.0013288213828926395,2.3316946115313007e-6,-0.0930784442778585,0.0005630880881500545,0.06087186994888441,0.005201631316621298
0.2,2.0,0.140042085056169,0.03292360128301007,0.06596579297803154,0.0069780197658310915,0.09509928667223856,0.015463187237150407,0.158366401101661,0.03415203887256191,0.5708332807650606,3.7950203032495873,0.0014256262395562908,1.1683727444356393,0.0040813927438056894,0.0005836799999999999,6.480508896341055e-5,4.0200000000000005e-6,1.9129190414806534e-7,0.00022609294863640272,0.00014310555888571378,0.1373583673224719,0.012889139330315063,2.7692620355124746,0.13066353260780147,0.0010252104127522433,3.977006991283691e-6,-0.09068489455700861,0.0010413797943147546,0.09348261265814246,0.007887572964089547
0.2,5.0,0.6805307801075534,0.07330030441992612,0.24916174086921278,0.01958276241822889,0.438415855965934,0.039508794140657263,0.9857199135872433,0.09348216099975713,0.8982793216831761,3.819144211565225,0.0012163973495727663,1.2140472680862002,0.003206877860716377,0.0020342000000000003,8.381620103270937e-5,2.6766666666666667e-6,3.303757681007313e-7,0.0004578750935612663,0.0003347898311111565,0.22878760376053447,0.015148127911890935,2.8397403587674575,0.0989265222105803,0.0006801996481263208,2.3894390503532504e-6,-0.08054136380549115,0.0009039022385796561,0.2919274034948618,0.008995788725578912
0.2,10.0,1.971123242235522,0.0808093276250168,0.6260140848558133,0.022261282908862763,1.2304644529746271,0.05601701044567182,3.1403371684364894,0.12138979874267991,1.0318170756814962,3.8397107334479075,0.0004709446052481947,1.2574161690374657,0.0012418729736655885,0.00353816,4.66320633613111e-5,1.6333333333333335e-6,2.1256807188565553e-7,0.0016484685153278279,0.0008105927763123382,0.33617688176580623,0.006347361695920674,2.690705592002722,0.02479562402572695,0.0004804893262138679,1.2910494464388183e-6,-0.06800854268639535,0.0012841750997892648,0.6990308140938779,0.011060186098634822
0.2,20.0,2.631426517755671,0.10032880153411708,0.82828018887032,0.01987554525836573,1.6601838191541256,0.04381268355447001,4.292528728513341,0.1467838268416908,1.0490701905932251,3.8495945988152647,0.000528480945542457,1.278103457503454,0.00113368332184618,0.0038313200000000005,4.2913784369231405e-5,1.2633333333333332e-6,3.0039069210152725e-7,0.0071267853377849355,0.002882875318506389,0.4095540513039899,0.013821504233609134,2.6963209505282997,0.04190660717072061,0.0003188976419846881,9.225260237948209e-7,-0.05192841032842407,0.0007901462214331996,1.2941344767907195,0.018055675316785823
0.2,50.0,2.6462384571872475,0.11261863449697432,0.8093522666692502,0.013742377210368563,1.644954243966925,0.020206913266299018,4.282930823560158,0.12162402054136975,1.0556925913933017,3.854733609119479,0.0007025999075288812,1.2915583990663384,0.0012793691981127801,0.0031816400000000003,3.9027147246784756e-5,8.933333333333333e-7,7.023417619772327e-7,0.011989559598321209,0.004757080997263034,0.48009705154277604,0.01521753891119281,2.7596009963364043,0.0957342504899463,0.0001728321315693699,8.488383736671689e-7,-0.029258746978245025,0.0016711238791649375,2.4543004336830663,0.021331280222354462
0.2,100.0,2.2136391236843114,0.0776299469360769,0.6509549381731906,0.02014310413988024,1.3162920425407538,0.03444768102881763,3.4137300701284787,0.07338328927283959,1.0507306994883043,3.8551818665447484,0.0005283843024892515,1.2950631060497535,0.0014936930161312063,0.0024044599999999998,3.340193607163123e-5,2.4366666666666665e-6,1.8204225530367773e-6,0.03542941277712851,0.012880045474417475,0.5198920711624231,0.009649796150981074,2.795688799646024,0.14876296373792156,0.00010422192395475636,5.22550544500918e-7,-0.009032516604382264,0.0017184127552176095,3.5775488185706465,0.032206477584848035
0.2,500.0,1.0365248550955766,0.0688207926014646,0.25488058912487005,0.007342490479913993,0.5217290209949152,0.018267083327965384,1.353747428768589,0.08846436505141901,1.0477311177220832,3.8502423405058117,0.0005005163816737541,1.2916196343646464,0.0016608730842093081,0.0008964000000000001,2.2296985346803186e-5,2.3966666666666664e-6,3.5282790544994807e-6,0.1029741296373903,0.07528161132953474,0.6025936494207794,0.01836247360327987,2.7697566400056646,0.1946779085141184,2.7983697442858132e-5,3.1062400593339794e-7,0.035589337514523256,0.004442106105830506,6.776111044047193,0.03759160091821868
0.2,1000.0,0.6630007995521563,0.06779432184250583,0.1360740198314833,0.00977088555033039,0.2844985853066427,0.02343223663942468,0.7592270999155227,0.06332476058149923,1.0676677518569273,3.8457447795362447,0.0011204498707895487,1.2861591130498238,0.002993614627636965,0.00049698,2.4103194808987453e-5,9.400000000000001e-7,2.022148960821899e-6,0.2755568986024205,0.2431592949267973,0.6198674460887542,0.0360168974306665,2.8493996644082085,0.17451555245965938,1.4827167409734476e-5,3.7071504933515173e-7,0.05392030695780424,0.00433672863307613,8.035576814511069,0.05776868297629635
0.225,0.1,0.006056376715931998,0.002009407018301107,0.003494938005922999,0.0004854659478437442,0.004394664389977674,0.0008765688065005339,0.006446951278624999,0.0016228345615261046,0.4213210881042927,3.771620890177357,0.0013640634010554876,1.1777736825598122,0.004554683646866224,3.78e-6,1.4800900873482895e-6,1.666666666666667e-8,1.7568209223157662e-8,0.002272727272727271,0.007186994682200855,0.31921910691647526,0.23578363264365762,-0.6838744588744587,0.7538133906224364,0.0028888548766903,5.7887079745614825e-6,-0.09011208663405991,0.0008245516509654223,0.010151162477740332,0.00407778657962958
0.225,1.0,0.10613608984775806,0.018552037220536256,0.04860662063908937,0.004179567156990608,0.06878152908364835,0.008934858175517557,0.11205998527765312,0.018732558172043227,0.5194655385923135,3.7969800393375044,0.0016793004707080267,1.1622754227546195,0.005105827776880322,0.00044148,5.099483198216158e-5,1.2163333333333333e-5,6.41073559462544e-7,0.0011734139680677602,0.0003340194969833418,0.09671737793459942,0.0070674788541186286,2.5964373894944925,0.11838520330139203,0.0016999117300805129,5.90709478546016e-6,-0.09308766154022392,0.0009306361752532093,0.060356595629975716,0.0059361244962609395
0.225,2.0,0.22504479746160294,0.025048439569719718,0.10187230095678744,0.008001236641382059,0.15392225102130805,0.015602894263729745,0.27842202645852315,0.03081137599581724,0.6586090274743508,3.8132248926681287,0.0015404658802505027,1.1825418004687496,0.0042675939801940805,0.0011601,9.964734483835145e-5,1.5186666666666668e-5,5.96946964991318e-7,0.0007599385756212774,0.0002967550904841698,0.12485372191281338,0.008855302554626812,3.0037170486578875,0.07886005979417621,0.0013236869146747844,5.205468377025455e-6,-0.09044584087691865,0.0010332153979479262,0.11079001124456722,0.006653958082495943
0.225,5.0,1.7784183763027788,0.09278508738924333,0.5840798295015175,0.017643156918811156,1.140935337294057,0.04038518940530089,2.8922458857213633,0.18032254351502344,1.0185576163747654,3.850503206611952,0.0006713282009236906,1.2556969933212871,0.001621423096278898,0.0043865,8.320567555428188e-5,9.733333333333334e-6,4.61077642694365e-7,0.0022794691803337706,0.0005189868604669642,0.22613569646228412,0.005948453856559928,2.8039762741180745,0.0536328007742476,0.0009154002399309462,2.1821618332376063e-6,-0.08046996084356521,0.0008356857283610962,0.3851361448617052,0.009659456629238707
