t,tau_V=0.1 C_vv(t),tau_V=0.1 stdv C_vv(t),tau_V=0.5 C_vv(t),tau_V=0.5 stdv C_vv(t),tau_V=1.0 C_vv(t),tau_V=1.0 stdv C_vv(t),tau_V=2.0 C_vv(t),tau_V=2.0 stdv C_vv(t),tau_V=5.0 C_vv(t),tau_V=5.0 stdv C_vv(t),tau_V=10.0 C_vv(t),tau_V=10.0 stdv C_vv(t),tau_V=20.0 C_vv(t),tau_V=20.0 stdv C_vv(t),tau_V=50.0 C_vv(t),tau_V=50.0 stdv C_vv(t),tau_V=100.0 C_vv(t),tau_V=100.0 stdv C_vv(t),tau_V=200.0 C_vv(t),tau_V=200.0 stdv C_vv(t),tau_V=500.0 C_vv(t),tau_V=500.0 stdv C_vv(t),tau_V=1000.0 C_vv(t),tau_V=1000.0 stdv C_vv(t)
485.0,-0.0006473421255244799,0.003287779303037309,-7.682933417454367e-5,0.002719981695821736,0.00017911563964638494,0.0023947210754159862,0.0009484581624513372,0.0025509699367018282,0.001190087514173122,0.0021412361052488543,0.0007344446049600061,0.0030125354335257233,-0.0014531566054391109,0.0026055306756438256,0.0005879859572359957,0.0037003530450398104,0.0011742090923342037,0.002682577569019547,0.008809432702077588,0.0032030201298880456,0.05455256229623461,0.005500327582224176,0.08865950427326189,0.011448764819933767
490.0,0.00020564320102380856,0.0027080893813528043,0.0015311791408155182,0.0023268834972395504,-0.002273106827890912,0.0025246965328296913,-0.0012541421891669746,0.003181724325676399,0.000845798378281604,0.0034178224562593216,0.000259870904367299,0.0024848472498892574,-0.0008159392575658115,0.003254183198795565,0.0006516705084835501,0.0036603665020919266,0.0012892836252020145,0.0023977848900556768,0.009736337495904376,0.0026159205471963072,0.0541721469523309,0.005796429219519811,0.088639979649496,0.010563017428365339
495.0,-0.00045302634513200624,0.0032701017324070617,0.0015082241219764086,0.0024538264839648136,0.000522139613984753,0.0027119360545083807,-0.0008009455148644881,0.0021414625931261764,0.0007562035519434,0.0023282638876404335,-0.00024274803675668845,0.0018027103704870658,-0.0009630676682918733,0.002552759482462545,-0.00018373741517006934,0.003257678308268264,0.00043663789218193697,0.002024395552155189,0.009477312568940854,0.0036699221989797064,0.05327444724328072,0.005177839659825267,0.08827390782211324,0.009497619999116767
500.0,-0.0005193690357820566,0.002153467836571601,-0.0005868025094671358,0.0027121477033010205,-0.0017054096094311483,0.0015617016365918855,0.00017302668787653452,0.002121208576703383,-0.0002535675870319875,0.0034623183302056808,-0.0016098151354387465,0.0033457999023414025,0.0008527970915256994,0.003271071049033268,0.00021672458219042703,0.00282804207989345,0.00024116354400209976,0.0035457222057580346,0.009064435965597192,0.0037553195763832255,0.05221207765436843,0.005654534434467007,0.08728708628802115,0.009831548627637195
510.0,0.0005824316096532049,0.002698047587566824,-0.0006039817549480636,0.0028625810735234203,0.0015117684991123761,0.002723247783773069,-0.0005178050623561706,0.003047353695814124,-0.0005214358231323416,0.003928831382180741,-2.9454325631986246e-5,0.0020729198162613882,-0.00015056383316793616,0.002016198318284699,-0.0005703662648198493,0.0026859189449781173,-0.001154742714615525,0.0023540627885920793,0.007564021139309859,0.004017260422411845,0.052158415480504705,0.00431073694563423,0.08588625915313412,0.010798826176654105
520.0,0.0006594326179712513,0.00279183843697049,-0.0004258070397202449,0.004008565028324326,-0.0004785287439905394,0.002512589716867805,0.00018933387932326988,0.00265550508635774,0.000578481245267934,0.0035965758713833677,0.0014281330944074125,0.0024079404564207266,0.0006690584798712971,0.0016604565245557272,-0.0015671183021374892,0.001407917213677636,-0.0007936554531888255,0.003814849006328748,0.006318095984030552,0.004287822791566938,0.050353517518826704,0.004439383846024497,0.08462662741616976,0.011121688051355414
530.0,-0.00041079437404703057,0.003498262464319302,0.0017259368297706669,0.003080173508099108,0.0004720966210445667,0.0030022831393008405,0.00044221040717316515,0.0027596838174717272,-0.00020885451236894178,0.0013898240257334655,-8.445931758026154e-5,0.002261968301523924,0.0013732124343938611,0.0018025207797376394,-0.0018370492638145892,0.003983412556844612,-0.0008936661848816876,0.0026049803253755054,0.006035499394568384,0.0038041075828915407,0.048676924435634504,0.00474077140420578,0.08366760878932529,0.01034265631830326
540.0,0.0015782165165722048,0.0015859144985183283,-0.000586924633573283,0.00365758266333557,0.0007029238084985439,0.003504088177007248,-6.519591090713628e-5,0.002470978215147532,0.0006853760978797231,0.003422496298165569,-0.0008023139468968617,0.0028619116642096027,-0.00016245855087069737,0.003289471586338707,-0.0015324147885822494,0.0015843235734077478,-0.0006228452301435105,0.0030085463651579117,0.004940447904862457,0.004732860931503762,0.048093946694148765,0.004838325243470234,0.08229679303807044,0.00969408283238864
550.0,0.002088069215530806,0.0034058296178955923,0.0012532792028516126,0.002745477693607678,-0.0004335595727582143,0.002741858012664136,0.0008154388635692273,0.003119021727256087,0.002884629367882976,0.0031456587925363603,0.0003039019890195845,0.0025796599341174347,0.0006321674189183595,0.0015580980898405828,-0.0005615997581072099,0.0025278356814273247,0.0007884708595905139,0.004013117485358947,0.003840115223815256,0.004635072159211473,0.04641335602518533,0.0041841992478953175,0.08167676103221949,0.009424092363048756
560.0,-0.0011890204986065027,0.0032297995654765356,6.529645460413742e-5,0.0027988205915136814,-0.0008949701287107321,0.003481452362779339,0.0011621730577865432,0.0026617156230220942,0.0001130558327131112,0.0025954239643140894,-0.0004307414952119511,0.003200861601817838,-0.0015536758306470833,0.002947968656393697,-0.0010315481581663175,0.003093162289661294,0.0009794920608269906,0.0029935896860998185,0.0027105271512738696,0.003918002002815146,0.045873430503013304,0.004694125238045677,0.08064942588265109,0.009747663110723361
