F_0,tau_V,MSD(2500),stdv MSD(2500),MSRD(500),stdv MSRD(500),MSRD(1000),stdv MSRD(1000),MSRD(2500),stdv MSRD(2500),MSRD diffusivity exponent,shape factor, stdv shape factor,aspect ratio,stdv aspect ratio,T1 rate,stdv T1 rate,P(l<l_c),stdv P(l<l_c),trapped edge lifetime,stdv trapped edge lifetime,T1 success rate,stdv T1 success rate,v^2,stdv v^2,correlation length,stdv correlation length,tau_eff,stdv tau_eff
0.03,100.0,7.345518941097051,2.085594757286,0.4701417735267324,0.030394111382258338,0.8269484724623075,0.0699443336879163,2.094545475929974,0.2527664145503484,1.1317480442003094,3.8450990362732975,0.0012012117980637338,1.3848209574428672,0.0027768231128965093,0.0007644,2.950269290910387e-5,0.0,0.0,0.0,0.0,0.998684009765029,0.002973502197833545,0.00013657336329554704,1.8047664549627988e-6,1.3320234006917115,0.04903069451251419,7.4919764298380755,0.7906432670487101
0.03,200.0,14.713558393943591,3.9490290427554604,0.5919863117451811,0.05827484121246479,1.1544759970986187,0.13529748544748965,3.2124854046580813,0.4237308917622123,1.2134228317819997,3.8603451623593186,0.0026693599999731447,1.4186744091432968,0.006723431525087577,0.0007972200000000001,3.787716403792074e-5,0.0,0.0,0.0,0.0,0.9986173002270565,0.0022291109472086256,9.772159132534413e-5,2.121328925691415e-6,1.7203459255487696,0.053916538876755515,25.99972126222041,1.4399723337587085
0.03,500.0,29.69739369362301,6.832171635399189,0.7501905520384009,0.1579941267859874,1.9017038313000607,0.5436768885915301,7.139037462478554,1.9268735999299949,1.4464666376082305,3.8806035338317697,0.0037842937430072614,1.4629407986385066,0.008280226891009006,0.0008196199999999999,6.58120184903774e-5,0.0,0.0,0.0,0.0,0.999153070120812,0.001794151943955912,6.94943719454296e-5,3.6945227561841106e-6,2.324957843581727,0.2223112668206118,98.6625612205717,1.2747841827213313
0.03,1000.0,49.35884997561485,15.194702913732609,0.9518305472343382,0.1831133722915298,2.8706432454499797,0.660560819678624,13.143223630353058,4.892783828183565,1.7300250999614393,3.8966694921828156,0.0041127627766443815,1.4978744680265288,0.009020080499298208,0.0008467800000000001,9.519525898558882e-5,0.0,0.0,0.0,0.0,0.9984285087719298,0.0032972617682079544,6.032831676738427e-5,6.5383329721000595e-6,2.7579709572777382,0.3602614531130024,278.0931803392859,4.5839732619575155
0.045,0.1,0.01243667481337198,0.0017776377926939622,0.0034566068906293343,3.304274266441525e-5,0.0034733003215673347,6.610368533911628e-5,0.0034940353418143307,6.49269728076399e-5,0.021235836288499094,3.7616346068426205,0.001996143414876548,1.188128844766819,0.005668013349028985,0.0,NaN,0.0,0.0,NaN,NaN,NaN,NaN,0.0027485991471294597,8.698498228874982e-7,0.27868824902969297,0.0037870189887057814,0.023694559243376042,0.004512456511693484
0.045,0.5,0.06827500746090091,0.017552397789381186,0.016283918172375976,0.0001999829836941686,0.016611001773350634,0.000361503261388928,0.017204069906256322,0.0007134044987955061,0.05783091940137627,3.7680663147145737,0.001688798743612931,1.2069482003577847,0.005226492330797492,1.3399999999999999e-6,7.12117343638751e-7,0.0,0.0,0.0,0.0,1.0,0.0,0.0023955446591578866,1.220481075692515e-6,0.33051864011023696,0.004219427168209954,0.07465634104945254,0.007654961654581393
0.045,1.0,0.11073235278391995,0.008013171210503206,0.032414925267665345,0.0007522131921159546,0.034930434491512646,0.0012415686280399072,0.041398045168628994,0.0022216348533748037,0.24519040256440283,3.7702827270412507,0.0011445603526881465,1.214077118657046,0.0029906639678406394,1.2139999999999999e-5,1.6945664801227353e-6,0.0,0.0,0.0,0.0,1.0,0.0,0.0021352113277067013,1.2701520517481302e-6,0.37182473342124467,0.004960457404711526,0.10248904584407849,0.010486495943987798
0.045,2.0,0.3484250559420754,0.10322993851767948,0.06656256784486811,0.0015400729446117308,0.07852638352144205,0.0027036471263523847,0.10734478032707202,0.007398174190861763,0.32928178807169806,3.7755295841001653,0.0011226828614565455,1.2289918576750758,0.0026226205190943348,7.290000000000001e-5,3.4515696912177963e-6,0.0,0.0,0.0,0.0,1.0,0.0,0.0018139911814718395,1.0828177154056524e-6,0.4236563800723749,0.004213440943032092,0.19397006415569218,0.0143432399450579
0.045,5.0,1.6338594639607416,0.2290143719163806,0.25410482399876516,0.005984109801757731,0.4021501363755834,0.017048515519256565,0.8606305656362695,0.05792016041785811,0.8950882744780484,3.805949416663914,0.000655925203071068,1.2956126935614347,0.0011362889839905102,0.0007996400000000001,2.2254847162409858e-5,0.0,0.0,0.0,0.0,0.9992232980424095,0.0016374353579844954,0.0013568431424920255,1.2296246308648728e-6,0.5253886245702922,0.006915214974596703,0.44928416945805855,0.021841790851824493
0.045,10.0,5.786371925101443,0.3512262519354885,0.8778652965887318,0.033238375228121536,1.7117452197847067,0.08317318305772474,4.677758596346351,0.3076830823593098,1.1607904876426183,3.8379203887456037,0.0005546023770058075,1.3551226878101312,0.0011997717880674792,0.0024773399999999998,3.093176001746073e-5,0.0,0.0,0.0,0.0,0.9996069171273841,0.0006338186579529599,0.0010541550956322168,3.304271008759144e-6,0.622100862288781,0.011678283744120417,1.1557337354388728,0.03670395094129707
