bin_left,bin_right,bin_mean,tau_V=0.1 P(l),tau_V=0.1 upper_error,tau_V=0.1 lower_error,tau_V=0.5 P(l),tau_V=0.5 upper_error,tau_V=0.5 lower_error,tau_V=1.0 P(l),tau_V=1.0 upper_error,tau_V=1.0 lower_error,tau_V=2.0 P(l),tau_V=2.0 upper_error,tau_V=2.0 lower_error,tau_V=5.0 P(l),tau_V=5.0 upper_error,tau_V=5.0 lower_error,tau_V=10.0 P(l),tau_V=10.0 upper_error,tau_V=10.0 lower_error,tau_V=20.0 P(l),tau_V=20.0 upper_error,tau_V=20.0 lower_error,tau_V=50.0 P(l),tau_V=50.0 upper_error,tau_V=50.0 lower_error,tau_V=100.0 P(l),tau_V=100.0 upper_error,tau_V=100.0 lower_error,tau_V=200.0 P(l),tau_V=200.0 upper_error,tau_V=200.0 lower_error,tau_V=500.0 P(l),tau_V=500.0 upper_error,tau_V=500.0 lower_error,tau_V=1000.0 P(l),tau_V=1000.0 upper_error,tau_V=1000.0 lower_error
0.03,0.04,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.666666666666663e-6,4.567734398020992e-6,4.567734398020992e-6,3.766666666666666e-5,1.089228971835775e-5,1.089228971835775e-5,6.433333333333332e-5,1.333796215948678e-5,1.333796215948678e-5,0.00011099999999999999,2.388501260540789e-5,2.388501260540789e-5,0.00013733333333333333,2.8965709825222856e-5,2.8965709825222856e-5,0.00015555555555555556,2.5440562537456243e-5,2.5440562537456243e-5,0.00015066666666666665,2.5180827509716074e-5,2.5180827509716074e-5,0.00013629629629629628,2.8501678529734797e-5,2.8501678529734797e-5
0.04,0.05,0.045,0.0,0.0,1.866666666666668e-6,6.766666666666664e-5,1.640912122142009e-5,1.640912122142009e-5,0.0006649999999999998,5.6442913365061175e-5,5.6442913365061175e-5,0.005207999999999998,0.00014942854107863356,0.00014942854107863356,0.014602666666666667,0.00024822729528288506,0.00024822729528288506,0.02069333333333333,0.00026185944773937447,0.00026185944773937447,0.024651666666666662,0.0003299130076135107,0.0003299130076135107,0.026684999999999993,0.00019691603775702415,0.00019691603775702415,0.026705666666666662,0.00026880186837975,0.00026880186837975,0.0262337037037037,0.0007723816781812756,0.0007723816781812756,0.026259999999999995,0.0007825725225730966,0.0007825725225730966,0.025118148148148143,0.0011332047857381085,0.0011332047857381085
0.05,0.06,0.055,5.000000000000003e-6,5.000000000000003e-6,1.0200000000000009e-5,0.0006800000000000004,7.76188853181022e-5,7.76188853181022e-5,0.006035333333333339,0.0004797612574995309,0.0004797612574995309,0.043920666666666684,0.00033791956088636004,0.00033791956088636004,0.12250366666666675,0.0007108271134285652,0.0007108271134285652,0.1812700000000001,0.00108737082388759,0.00108737082388759,0.22777200000000014,0.0011992499713684218,0.0011992499713684218,0.26960433333333345,0.0012599050032776082,0.0012599050032776082,0.2884853333333335,0.0012508705116985662,0.0012508705116985662,0.30195444444444464,0.00187994015862208,0.00187994015862208,0.3114873333333335,0.00224359764003495,0.00224359764003495,0.3155181481481483,0.0015638619496397015,0.0015638619496397015
0.06,0.07,0.065,1.666666666666665e-5,1.6499999999999984e-5,9.999999999999989e-6,0.0010973333333333323,0.00012799305536716508,0.00012799305536716508,0.008634999999999992,0.0006752672081991952,0.0006752672081991952,0.05716233333333327,0.0005003728239652518,0.0005003728239652518,0.14815733333333317,0.001442361575188497,0.001442361575188497,0.21248166666666646,0.0011728631739002446,0.0011728631739002446,0.26316433333333306,0.0016561483278832864,0.0016561483278832864,0.308509333333333,0.0010266075019027333,0.0010266075019027333,0.3282116666666663,0.0019463344782525286,0.0019463344782525286,0.34350592592592555,0.0016777421813736783,0.0016777421813736783,0.35431999999999964,0.001974656713406772,0.001974656713406772,0.35786481481481447,0.00188342412105003,0.00188342412105003
0.07,0.08,0.07500000000000001,3.5000000000000024e-5,3.465000000000002e-5,2.286666666666669e-5,0.0015933333333333342,0.00016224505166606313,0.00016224505166606313,0.01115333333333334,0.0008979977728257465,0.0008979977728257465,0.06855266666666669,0.0005234590554341859,0.0005234590554341859,0.1687260000000001,0.0015200323258420967,0.0015200323258420967,0.23610733333333345,0.0011121825944766398,0.0011121825944766398,0.2890570000000002,0.0017501276496654315,0.0017501276496654315,0.33476933333333353,0.0016431036576033862,0.0016431036576033862,0.3562453333333335,0.0015237925395878858,0.0015237925395878858,0.3705722222222224,0.0017151060867738972,0.0017151060867738972,0.3825913333333336,0.001989860222152232,0.001989860222152232,0.3855092592592595,0.0015153838693891769,0.0015153838693891769
0.08,0.09,0.08499999999999999,9.300000000000007e-5,6.0091494026367745e-5,6.0091494026367745e-5,0.002179666666666668,0.0002255552818827022,0.0002255552818827022,0.014157333333333341,0.0010520090127764902,0.0010520090127764902,0.08065600000000003,0.0009022082648072025,0.0009022082648072025,0.1879660000000001,0.0015450708561801567,0.0015450708561801567,0.25880233333333347,0.001428484520284127,0.001428484520284127,0.31265466666666686,0.0015336692063701043,0.0015336692063701043,0.3590620000000002,0.0015666234824623525,0.0015666234824623525,0.3808323333333336,0.0015456582360651632,0.0015456582360651632,0.39554666666666694,0.0020923564599645904,0.0020923564599645904,0.40687466666666694,0.0026213478768294146,0.0026213478768294146,0.4105188888888891,0.0016890908139522176,0.0016890908139522176
0.09,0.1,0.095,0.0001536666666666665,9.172489732958789e-5,9.172489732958789e-5,0.002986666666666663,0.00028017190490178725,0.00028017190490178725,0.01739766666666665,0.0012693928265703038,0.0012693928265703038,0.09261866666666657,0.000701242636016878,0.000701242636016878,0.2061699999999998,0.0014962141524940402,0.0014962141524940402,0.2786526666666663,0.0011051404022303958,0.0011051404022303958,0.33224766666666633,0.0017895085538207265,0.0017895085538207265,0.379353333333333,0.0018328901821312337,0.0018328901821312337,0.40112033333333297,0.0017579382213614464,0.0017579382213614464,0.4167222222222218,0.001642062558017948,0.001642062558017948,0.42783466666666625,0.002276276578478193,0.002276276578478193,0.4311159259259256,0.0017561912526969797,0.0017561912526969797
0.1,0.15,0.125,0.0009130666666666667,0.0004427511298268622,0.0004427511298268622,0.006917266666666667,0.0005982906886691018,0.0005982906886691018,0.030616266666666676,0.0019474009574016566,0.0019474009574016566,0.13391140000000004,0.0010498412554897996,0.0010498412554897996,0.26329666666666673,0.0007468823762485087,0.0007468823762485087,0.33800206666666666,0.0010250792176554574,0.0010250792176554574,0.39215533333333336,0.0009170670371446587,0.0009170670371446587,0.4391586666666667,0.0015487791129598597,0.0015487791129598597,0.46082686666666667,0.0016401441987193071,0.0016401441987193071,0.4747997777777779,0.001506327506074151,0.001506327506074151,0.4867560000000001,0.001965817293043688,0.001965817293043688,0.4896656296296297,0.0014224239917639404,0.0014224239917639404
0.15,0.2,0.175,0.006717133333333331,0.002317150017255925,0.002317150017255925,0.021316666666666657,0.00188586880132274,0.00188586880132274,0.06737126666666664,0.0037678740831101087,0.0037678740831101087,0.2200664666666666,0.0011548271657334935,0.0011548271657334935,0.36474999999999985,0.000768548415304242,0.000768548415304242,0.4388452666666665,0.0012439549612743334,0.0012439549612743334,0.48889699999999997,0.0010914156284725287,0.0010914156284725287,0.5325955333333332,0.001308120999047177,0.001308120999047177,0.5525391999999998,0.0018784860676014769,0.0018784860676014769,0.5644169629629627,0.0018678929635974285,0.0018678929635974285,0.5754524666666664,0.0016179369900288744,0.0016179369900288744,0.5776317777777776,0.0016467666298942683,0.0016467666298942683
0.2,0.25,0.225,0.030272400000000005,0.006841289324731952,0.006841289324731952,0.05629653333333334,0.004716145536451102,0.004716145536451102,0.13448680000000005,0.0062078803428076215,0.0062078803428076215,0.33460480000000004,0.0016164062195706476,0.0016164062195706476,0.478085,0.0006656909341076213,0.0006656909341076213,0.5421360666666668,0.0013153927245325128,0.0013153927245325128,0.5843000666666667,0.002091470047125865,0.002091470047125865,0.6205196666666668,0.0014219540111679156,0.0014219540111679156,0.6366264666666668,0.0020399929568990205,0.0020399929568990205,0.6462451111111113,0.0029821690279243428,0.0029821690279243428,0.6558058666666667,0.0019930686260508194,0.0019930686260508194,0.6574902962962964,0.0011449939888785112,0.0011449939888785112
