time,Delta T=0.05 MSRD,Delta T=0.05 stdv MSRD,Delta T=0.1 MSRD,Delta T=0.1 stdv MSRD,Delta T=0.15 MSRD,Delta T=0.15 stdv MSRD,Delta T=0.2 MSRD,Delta T=0.2 stdv MSRD,Delta T=0.225 MSRD,Delta T=0.225 stdv MSRD,Delta T=0.25 MSRD,Delta T=0.25 stdv MSRD,Delta T=0.3 MSRD,Delta T=0.3 stdv MSRD
40.0,0.002948310531041994,1.7237854189847277e-5,0.012206092844717992,0.0001617055197116086,0.03303602893418136,0.0004574365093063962,0.08345512905518052,0.0011681208824716037,0.11741135882598472,0.0012576056014110444,0.15638660737141927,0.0017365473541402835,0.24557566925220178,0.003719449520272459
41.0,0.0029587138562473347,1.7023190662613853e-5,0.012266373207434967,0.0001577429434027548,0.03333853388781768,0.00047537756150951345,0.08476317717966401,0.001234218685390082,0.11954413579380159,0.0012804141104918246,0.15946903341314486,0.0018009057693399565,0.250906497537232,0.003834706110714732
42.0,0.002968360514665003,1.8227666586559957e-5,0.012322141985211334,0.00015456445815892767,0.03363107485544833,0.0004877138441952569,0.08606405576780687,0.0012988983967943926,0.12170431928430094,0.001301364234062512,0.162517278908018,0.0018319437604362558,0.25617514051966117,0.003984902655777561
43.0,0.002977238102779007,1.9109242926841044e-5,0.012378908384601655,0.00015019815289406705,0.033921487624106246,0.0004998921589766428,0.08737487309986643,0.0013364811296054703,0.1238574160186026,0.0013679143971708563,0.16556752196781666,0.0018376427495482247,0.26145677296960723,0.004089768354470612
44.0,0.0029852216758726635,1.8350522462035253e-5,0.012430651931649314,0.0001486587936249217,0.03419961583293037,0.0005235268490961425,0.08866078375072158,0.0013714490536252378,0.12600645238460667,0.0014337823744392244,0.16865561818937685,0.00183447506291232,0.2668122969410373,0.004195263457270062
45.0,0.002992275111018001,1.8028429189821904e-5,0.012480438031146356,0.00014966605525755386,0.03447273261366135,0.0005468170320723801,0.08993844067601345,0.0014138601312216083,0.12813197314468497,0.001502485123836426,0.1717249262425198,0.001824807641808941,0.2722095614203924,0.004315323036461391
46.0,0.0029987494236376686,1.813543695562497e-5,0.012531227772988337,0.00015270987297230176,0.0347446307256953,0.0005609791272842479,0.09121515075983559,0.0014322070266487607,0.13023300311526137,0.0015705639263396303,0.17475077387289312,0.0018456388605967117,0.2776052045722312,0.0044056140895434625
47.0,0.0030048641153730027,1.904565624708877e-5,0.012577362327489001,0.000155299221984334,0.03500653494317627,0.0005732498898451925,0.09248714477301494,0.0014395844157509363,0.13231686421818314,0.001638723397622728,0.17777147805864904,0.0019143330016739885,0.28300119589830586,0.004430390616621438
48.0,0.0030118173844506687,2.0621061352624442e-5,0.012617839352376,0.00015707836341370508,0.03525927155332034,0.0005873815161088512,0.09374591251566568,0.0014470028132054363,0.1343905539841291,0.0016889031803975136,0.18074739977408724,0.001942133898132958,0.28839667358119836,0.004484675977682623
49.0,0.0030182884285809963,2.1562720320752086e-5,0.012655617219163315,0.0001593461010479631,0.03550394135083133,0.000606581003065614,0.09500320727129025,0.0015007953623995445,0.13644521466501472,0.0017507628145552148,0.18374163893968537,0.0019380675187981383,0.29383384304669363,0.004591703615919853
