bin left,bin right,bin mean,tau_T=0.1 P(l),tau_T=0.1 stdv P(l),tau_T=1.0 P(l),tau_T=1.0 stdv P(l),tau_T=2.0 P(l),tau_T=2.0 stdv P(l),tau_T=5.0 P(l),tau_T=5.0 stdv P(l),tau_T=10.0 P(l),tau_T=10.0 stdv P(l),tau_T=20.0 P(l),tau_T=20.0 stdv P(l),tau_T=50.0 P(l),tau_T=50.0 stdv P(l),tau_T=100.0 P(l),tau_T=100.0 stdv P(l),tau_T=500.0 P(l),tau_T=500.0 stdv P(l),tau_T=1000.0 P(l),tau_T=1000.0 stdv P(l)
0.4,0.45,0.42500000000000004,0.859341666666667,0.019831968120458045,0.9931761333333335,0.0036376072151693252,1.014251066666667,0.0008237112163260223,1.017800066666667,0.0012828277195417882,1.0253879794627938,0.001299266694901521,1.0356113644672935,0.0017949723335647602,1.0458921816197024,0.0012873553437918223,1.0501209752362832,0.0020550111911888163,1.0372515026361444,0.0033811076842132637,1.0570361655291565,0.004607481727072939
0.45,0.5,0.475,1.4137186000000004,0.020210726413662138,1.2632105333333334,0.002321142838993824,1.1821985333333336,0.0012913152181371625,1.1330106666666668,0.0010339810634175895,1.120709656512204,0.00141482017932713,1.1208968847996252,0.0017234195560395767,1.1229235466794005,0.0017808219187631807,1.1232774939775705,0.002169004799539055,1.106724288510025,0.004381083671865842,1.1424493889592768,0.005389670782956141
0.5,0.6,0.55,2.4335020000000003,0.012969634086807506,1.6627966,0.013142729023783188,1.402582866666667,0.002129900885655466,1.2721260666666667,0.0018965898103285245,1.2297286019334392,0.0016307025092374247,1.212333408509363,0.0018962072366244028,1.1996409532565167,0.002031510286752715,1.191256421383042,0.0034444420326238488,1.1716020714363142,0.0053211879472390665,1.2269869133980813,0.006714703137356135
0.6,0.7,0.6499999999999999,3.076522766666667,0.048871683626564924,1.9719089000000003,0.02359325858990498,1.5648220666666668,0.0028972611238466226,1.3635187,0.002001095369485857,1.2909284419686897,0.002018458820041364,1.2543247611424253,0.0022721815660693015,1.22338246286802,0.0022308016035475116,1.2047113155802407,0.0033907841468294782,1.1787306776866537,0.006522517439879566,1.2470653188739491,0.00883080123202765
0.7,0.8,0.75,2.023525633333331,0.009416919769066561,1.7784386999999982,0.01500322059125559,1.4859441999999987,0.0025098461622228615,1.3031310999999988,0.0020226968432647103,1.2285140684615115,0.001716789234436816,1.1832927659253727,0.001719530095028467,1.1460692643403922,0.0035765045071406727,1.1215868230103603,0.0032871705176115078,1.095225047767841,0.0046466218028405875,1.1555214595685137,0.008402724015679213
0.8,0.9,0.8500000000000001,0.7373072000000002,0.022614884099734944,1.190209466666667,0.003974255585858625,1.1781214333333336,0.000924732768205282,1.0951935333333334,0.0009330401020850034,1.0475903819855559,0.001890154556757006,1.012221390844374,0.0010621772305455003,0.9784336956551736,0.002406274363564612,0.9560032169649948,0.002535453411081259,0.9344584941639921,0.004797977940682603,0.9760182087942733,0.00628351600897763
0.9,1.0,0.95,0.1542960666666667,0.008008588309503186,0.6102728666666668,0.012312808698843698,0.7787332666666668,0.0014894616377639134,0.8039117333333333,0.0008466945868829106,0.7939548540826312,0.0011299181246795151,0.7780755797155732,0.001711482759903533,0.7597947722223803,0.0014515319826627594,0.7458541298723744,0.0018196306322713336,0.7363476474770208,0.0027739391979444807,0.7508434444492839,0.004970229079158509
1.0,1.1,1.05,0.01580599999999998,0.0011258879623229398,0.25818189999999974,0.008984802831846694,0.43536793333333285,0.0012105530804115143,0.5177825333333328,0.0005656753900547495,0.535784125529527,0.0011204066211283014,0.5387944695024119,0.0010772609482040138,0.5355110126626647,0.0015681952524142688,0.5312021637159323,0.0014506935019625,0.5386804003710748,0.001990415308311827,0.5301826838962402,0.0040834481834426265
1.1,1.2,1.15,0.0007086333333333344,0.00013713492049712624,0.09799333333333346,0.0038638547630093015,0.2131205333333336,0.0009941870331029881,0.29797126666666707,0.0010467710941064502,0.3276119026686766,0.0009504865100486277,0.3408554899021657,0.0007952555067642675,0.34902781071310657,0.001101460736510604,0.3535911635916011,0.0017083682244381625,0.3688803412227106,0.003385413837095075,0.34638756558269856,0.004717145865371831
1.2,1.3,1.25,1.3099999999999988e-5,5.149733302455545e-6,0.0355551333333333,0.0014049759033125401,0.0965697999999999,0.000517990590505128,0.1587016666666665,0.0007561546807595414,0.18636865385031381,0.0008807555681740954,0.20187942594201555,0.0007307241182809452,0.2143642132529697,0.0007673946005851843,0.22305031311284937,0.001129458469714062,0.24108107938018727,0.0032897120286118397,0.21270119499833617,0.004580601286972583
