bin left,bin right,bin mean,tau_T=0.1 P(l),tau_T=0.1 lower error,tau_T=0.1 upper error,tau_T=1.0 P(l),tau_T=1.0 lower error,tau_T=1.0 upper error,tau_T=2.0 P(l),tau_T=2.0 lower error,tau_T=2.0 upper error,tau_T=5.0 P(l),tau_T=5.0 lower error,tau_T=5.0 upper error,tau_T=10.0 P(l),tau_T=10.0 lower error,tau_T=10.0 upper error,tau_T=20.0 P(l),tau_T=20.0 lower error,tau_T=20.0 upper error,tau_T=50.0 P(l),tau_T=50.0 lower error,tau_T=50.0 upper error,tau_T=100.0 P(l),tau_T=100.0 lower error,tau_T=100.0 upper error,tau_T=500.0 P(l),tau_T=500.0 lower error,tau_T=500.0 upper error,tau_T=1000.0 P(l),tau_T=1000.0 lower error,tau_T=1000.0 upper error
29.5,39.5,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8972092052590638e-6,1.3664840071848383e-6,1.3634161685001951e-6,7.026460022006423e-5,1.590851953364481e-5,1.590851953364481e-5,0.00027482131768757,3.595056203864158e-5,3.595056203864158e-5,0.0011228909808398922,4.5205789075629034e-5,4.5205789075629034e-5,0.0013355782717893651,0.00010920670634528483,0.00010920670634528483
39.5,49.5,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5581642999701168e-5,4.689983626306065e-6,4.689983626306065e-6,0.00011402710949870215,1.2512904405059362e-5,1.2512904405059362e-5,0.0006844212718254238,5.937796197352454e-5,5.937796197352454e-5,0.0008978851708441735,8.650149809011356e-5,8.650149809011356e-5
49.5,99.5,74.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5581543499056803e-6,1.0122798994941597e-6,1.0122798994941597e-6,1.6095988879901234e-5,3.10270523052414e-6,3.10270523052414e-6,0.0002015470791041565,1.5977997439550696e-5,1.5977997439550696e-5,0.0003683632425719583,3.055575030007339e-5,3.055575030007339e-5
99.5,199.5,149.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3683259899838536e-7,1.3546427300840152e-7,1.5902829941540869e-7,1.1410347503824352e-5,2.1757082322907034e-6,2.1757082322907034e-6,4.436690292069908e-5,7.031589197868401e-6,7.031589197868401e-6
199.5,299.5,249.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.558778929171941e-7,2.889440681575893e-6,1.9272219318134197e-6,1.9272219318134197e-6
299.5,499.5,399.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.301197772226483e-7
499.5,999.5,749.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
999.5,1499.5,1249.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1499.5,1999.5,1749.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999.5,2499.5,2249.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2499.5,2999.5,2749.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2999.5,3499.5,3249.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3499.5,3999.5,3749.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3999.5,4499.5,4249.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4499.5,4999.5,4749.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
