t,Delta T=0.05 C_vv(t),Delta T=0.05 stdv C_vv(t),Delta T=0.1 C_vv(t),Delta T=0.1 stdv C_vv(t),Delta T=0.15 C_vv(t),Delta T=0.15 stdv C_vv(t),Delta T=0.2 C_vv(t),Delta T=0.2 stdv C_vv(t),Delta T=0.225 C_vv(t),Delta T=0.225 stdv C_vv(t),Delta T=0.25 C_vv(t),Delta T=0.25 stdv C_vv(t),Delta T=0.3 C_vv(t),Delta T=0.3 stdv C_vv(t)
182.5,-0.0010193005942928113,0.003858454178240604,0.0004166468324135511,0.0034418400876344473,0.0008953532507482509,0.003449530390306032,0.00420161281420509,0.002410450875514882,0.003467155457689527,0.002206543884272237,0.0037846004678352566,0.00357474986078525,0.0002349590545867427,0.0014152873678096223
185.0,-0.0010708863683745627,0.0022268199281608634,0.00018758954125458694,0.0025868886576404684,0.0013005494684873336,0.002499532420148698,0.0034365656260714693,0.003529445689331082,0.0022216004471060065,0.001585463633367833,0.0031308060849229115,0.003219822143640407,-2.540070405467178e-5,0.0028913824552373197
187.5,-0.0021454610282935307,0.0035069929705909284,0.00027530482090857764,0.0016425356555888877,0.0008348050368588579,0.003131445981494341,0.0035526461563739225,0.002802563657820734,0.0024290345246772227,0.0016976118953530934,0.0020600376868765624,0.0033844897835698436,-0.0007482461611068097,0.0027500113923292395
190.0,-0.002716803785725741,0.003106140719674436,-2.3555499924459052e-5,0.0030258589344330238,0.00033376581909268937,0.004640646560087648,0.003327226489871536,0.0033313218126872347,0.0030984821519665154,0.003117508468851971,0.0021906277630889576,0.0018612283637872032,0.00017861893956522577,0.002689304191058868
192.5,-0.0022851473579357123,0.004010645449752578,-0.00215864817494369,0.0022082644830002493,0.0010001415320795297,0.0040846850481519375,0.0038794928136011548,0.002785880854453453,0.0025776321333697175,0.003989415307211063,0.0026100733262032225,0.003289590262225118,-0.0003069606193873081,0.00375954209766321
195.0,-0.0018250515344836158,0.00360372680706742,-0.001756536300708755,0.0030454163138677946,0.0007485831489643129,0.002546578690763288,0.0030458133250890005,0.00303076913440412,0.0028032250345692623,0.003002882563128057,0.0017774906660502192,0.002205800293833809,-0.0010670161736426498,0.002599246680747131
197.5,-0.0030314236463472575,0.0023091128121692723,-0.002585153755359856,0.002963028389584071,0.00010226092424982999,0.001826116529995674,0.0022795457644250792,0.0025150935008718994,0.0028049323140428455,0.0025007367629860254,0.003173501552561605,0.002037840371300439,-0.00047906520446597067,0.001848312097216501
200.0,-0.002603993183945735,0.0016349291872062325,-0.0011166841383526715,0.0017121316601021268,0.0011668900667216595,0.0022150038673050157,0.0026334933295402547,0.0025722945321138427,0.003097238240542979,0.0031056581669459534,0.0030920932114200067,0.0015754854617360799,0.0003933254325405239,0.0025339738518680233
202.5,-0.001740599591613314,0.0035654587880676325,-0.0008352541522525751,0.0032892419676246736,0.0007557627124233936,0.003995763126966708,0.0012851488789175404,0.003843240810738187,0.002889114959855659,0.0023810484643976247,0.002779891734479392,0.0020770363515960127,0.0010485929617278361,0.0017904207782685764
205.0,-0.002059360838822716,0.0031214575150828416,-0.0018387295556652466,0.003084764289426416,0.0002731455401424126,0.004059625971489922,0.002092904407173704,0.0030343396126599363,0.0029070504494956265,0.002298268001312513,0.00298378216487294,0.0019448931935374025,0.0011323151361032307,0.002203968442760224
207.5,-0.0019339276298090489,0.0024863583393675884,-0.00046540050342897525,0.0029135928719545194,0.0008236806249762727,0.0032879672222599654,0.0007527259697518279,0.002982634349148972,0.0022225692438137086,0.0031371667785651245,0.0006126055380196167,0.0031458067097802,0.0005488303550839758,0.002057258843714816
210.0,-0.0016771685462763197,0.0035686813009505386,0.00010049843724493409,0.0028478894579652353,0.0007955292792781495,0.003290108670163489,0.004047064328095888,0.0028058348743500243,0.0012051032246401827,0.00302574421619896,0.0017222728059366238,0.0022832799818417095,0.0006641014970227472,0.0024808177261846985
